,historical,forecast
2025-03-02,64417.0,
2025-03-09,0.0,
2025-03-16,0.0,
2025-03-23,0.0,
2025-03-30,0.0,
2025-04-06,21671.0,
2025-04-13,0.0,
2025-04-20,0.0,
2025-04-27,0.0,
2025-05-04,20284.0,
2025-05-11,0.0,
2025-05-18,0.0,
2025-05-25,0.0,
2025-06-01,10501.0,
2025-06-08,0.0,
2025-06-15,0.0,
2025-06-22,0.0,
2025-06-29,0.0,
2025-07-06,12208.0,
2025-07-13,0.0,
2025-07-20,0.0,
2025-07-27,0.0,
2025-08-03,0.0,
2025-08-10,0.0,
2025-08-17,0.0,
2025-08-24,0.0,
2025-08-31,0.0,
2025-09-07,9989.0,
2025-09-14,12074.0,
2025-09-21,10297.0,
2025-09-28,0.0,
2025-10-05,0.0,
2025-10-12,0.0,
2025-10-19,8452.0,
2025-10-26,3280.0,
2025-11-02,5136.0,
2025-11-09,13186.0,
2025-11-16,9830.0,
2025-11-23,5128.0,
2025-11-30,7733.0,
2025-12-07,11768.0,
2025-12-14,15672.0,
2025-12-21,10209.0,
2025-12-28,14526.0,
2026-01-04,1523.0,
2026-01-11,,5952.977777777778
2026-01-18,,5952.977777777778
2026-01-25,,5952.977777777778
2026-02-01,,5952.977777777778
2026-02-08,,5952.977777777778
2026-02-15,,5952.977777777778
2026-02-22,,5952.977777777778
2026-03-01,,5952.977777777778
2026-03-08,,5952.977777777778
2026-03-15,,5952.977777777778
2026-03-22,,5952.977777777778
2026-03-29,,5952.977777777778
