,historical,forecast
2025-03-02,15638.0,
2025-03-09,0.0,
2025-03-16,0.0,
2025-03-23,0.0,
2025-03-30,0.0,
2025-04-06,0.0,
2025-04-13,0.0,
2025-04-20,0.0,
2025-04-27,0.0,
2025-05-04,5858.0,
2025-05-11,0.0,
2025-05-18,0.0,
2025-05-25,0.0,
2025-06-01,6089.0,
2025-06-08,0.0,
2025-06-15,0.0,
2025-06-22,0.0,
2025-06-29,0.0,
2025-07-06,0.0,
2025-07-13,0.0,
2025-07-20,0.0,
2025-07-27,0.0,
2025-08-03,0.0,
2025-08-10,0.0,
2025-08-17,0.0,
2025-08-24,0.0,
2025-08-31,0.0,
2025-09-07,4125.0,
2025-09-14,3473.0,
2025-09-21,4772.0,
2025-09-28,0.0,
2025-10-05,0.0,
2025-10-12,0.0,
2025-10-19,2936.0,
2025-10-26,533.0,
2025-11-02,2465.0,
2025-11-09,3263.0,
2025-11-16,2830.0,
2025-11-23,1774.0,
2025-11-30,2902.0,
2025-12-07,4164.0,
2025-12-14,5160.0,
2025-12-21,3392.0,
2025-12-28,4979.0,
2026-01-04,854.0,
2026-01-11,,1671.2666666666667
2026-01-18,,1671.2666666666667
2026-01-25,,1671.2666666666667
2026-02-01,,1671.2666666666667
2026-02-08,,1671.2666666666667
2026-02-15,,1671.2666666666667
2026-02-22,,1671.2666666666667
2026-03-01,,1671.2666666666667
2026-03-08,,1671.2666666666667
2026-03-15,,1671.2666666666667
2026-03-22,,1671.2666666666667
2026-03-29,,1671.2666666666667
