,historical,forecast
2025-03-02,24607.0,
2025-03-09,0.0,
2025-03-16,0.0,
2025-03-23,0.0,
2025-03-30,0.0,
2025-04-06,8641.0,
2025-04-13,0.0,
2025-04-20,0.0,
2025-04-27,0.0,
2025-05-04,21353.0,
2025-05-11,0.0,
2025-05-18,0.0,
2025-05-25,0.0,
2025-06-01,9306.0,
2025-06-08,0.0,
2025-06-15,0.0,
2025-06-22,0.0,
2025-06-29,0.0,
2025-07-06,12486.0,
2025-07-13,0.0,
2025-07-20,0.0,
2025-07-27,0.0,
2025-08-03,0.0,
2025-08-10,0.0,
2025-08-17,0.0,
2025-08-24,0.0,
2025-08-31,0.0,
2025-09-07,3940.0,
2025-09-14,5264.0,
2025-09-21,4592.0,
2025-09-28,0.0,
2025-10-05,0.0,
2025-10-12,0.0,
2025-10-19,3633.0,
2025-10-26,1323.0,
2025-11-02,2560.0,
2025-11-09,5687.0,
2025-11-16,4171.0,
2025-11-23,1786.0,
2025-11-30,3707.0,
2025-12-07,5905.0,
2025-12-14,6695.0,
2025-12-21,4515.0,
2025-12-28,6585.0,
2026-01-04,844.0,
2026-01-11,,3057.777777777778
2026-01-18,,3057.777777777778
2026-01-25,,3057.777777777778
2026-02-01,,3057.777777777778
2026-02-08,,3057.777777777778
2026-02-15,,3057.777777777778
2026-02-22,,3057.777777777778
2026-03-01,,3057.777777777778
2026-03-08,,3057.777777777778
2026-03-15,,3057.777777777778
2026-03-22,,3057.777777777778
2026-03-29,,3057.777777777778
