,historical,forecast
2025-03-02,63469.0,
2025-03-09,0.0,
2025-03-16,0.0,
2025-03-23,0.0,
2025-03-30,0.0,
2025-04-06,25952.0,
2025-04-13,0.0,
2025-04-20,0.0,
2025-04-27,0.0,
2025-05-04,59410.0,
2025-05-11,0.0,
2025-05-18,0.0,
2025-05-25,0.0,
2025-06-01,22791.0,
2025-06-08,0.0,
2025-06-15,0.0,
2025-06-22,0.0,
2025-06-29,0.0,
2025-07-06,37878.0,
2025-07-13,0.0,
2025-07-20,0.0,
2025-07-27,0.0,
2025-08-03,0.0,
2025-08-10,0.0,
2025-08-17,0.0,
2025-08-24,0.0,
2025-08-31,0.0,
2025-09-07,9679.0,
2025-09-14,13390.0,
2025-09-21,10566.0,
2025-09-28,0.0,
2025-10-05,0.0,
2025-10-12,0.0,
2025-10-19,8742.0,
2025-10-26,3452.0,
2025-11-02,6058.0,
2025-11-09,13379.0,
2025-11-16,12025.0,
2025-11-23,5735.0,
2025-11-30,8494.0,
2025-12-07,14749.0,
2025-12-14,15124.0,
2025-12-21,9493.0,
2025-12-28,15880.0,
2026-01-04,1316.0,
2026-01-11,,7946.266666666666
2026-01-18,,7946.266666666666
2026-01-25,,7946.266666666666
2026-02-01,,7946.266666666666
2026-02-08,,7946.266666666666
2026-02-15,,7946.266666666666
2026-02-22,,7946.266666666666
2026-03-01,,7946.266666666666
2026-03-08,,7946.266666666666
2026-03-15,,7946.266666666666
2026-03-22,,7946.266666666666
2026-03-29,,7946.266666666666
