,historical,forecast
2025-03-02,30632.0,
2025-03-09,0.0,
2025-03-16,0.0,
2025-03-23,0.0,
2025-03-30,0.0,
2025-04-06,0.0,
2025-04-13,0.0,
2025-04-20,0.0,
2025-04-27,0.0,
2025-05-04,0.0,
2025-05-11,0.0,
2025-05-18,0.0,
2025-05-25,0.0,
2025-06-01,0.0,
2025-06-08,0.0,
2025-06-15,0.0,
2025-06-22,0.0,
2025-06-29,0.0,
2025-07-06,2607.0,
2025-07-13,0.0,
2025-07-20,0.0,
2025-07-27,0.0,
2025-08-03,0.0,
2025-08-10,0.0,
2025-08-17,0.0,
2025-08-24,0.0,
2025-08-31,0.0,
2025-09-07,3999.0,
2025-09-14,6583.0,
2025-09-21,5668.0,
2025-09-28,0.0,
2025-10-05,0.0,
2025-10-12,0.0,
2025-10-19,3808.0,
2025-10-26,1387.0,
2025-11-02,3306.0,
2025-11-09,6217.0,
2025-11-16,4274.0,
2025-11-23,2757.0,
2025-11-30,3781.0,
2025-12-07,6877.0,
2025-12-14,6767.0,
2025-12-21,4144.0,
2025-12-28,6673.0,
2026-01-04,547.0,
2026-01-11,,2222.822222222222
2026-01-18,,2222.822222222222
2026-01-25,,2222.822222222222
2026-02-01,,2222.822222222222
2026-02-08,,2222.822222222222
2026-02-15,,2222.822222222222
2026-02-22,,2222.822222222222
2026-03-01,,2222.822222222222
2026-03-08,,2222.822222222222
2026-03-15,,2222.822222222222
2026-03-22,,2222.822222222222
2026-03-29,,2222.822222222222
