,historical,forecast
2025-03-02,1086699.0,
2025-03-09,0.0,
2025-03-16,0.0,
2025-03-23,0.0,
2025-03-30,0.0,
2025-04-06,15300.0,
2025-04-13,0.0,
2025-04-20,0.0,
2025-04-27,0.0,
2025-05-04,10192.0,
2025-05-11,0.0,
2025-05-18,0.0,
2025-05-25,0.0,
2025-06-01,0.0,
2025-06-08,0.0,
2025-06-15,0.0,
2025-06-22,0.0,
2025-06-29,0.0,
2025-07-06,8517.0,
2025-07-13,0.0,
2025-07-20,0.0,
2025-07-27,0.0,
2025-08-03,0.0,
2025-08-10,0.0,
2025-08-17,0.0,
2025-08-24,0.0,
2025-08-31,0.0,
2025-09-07,433318.0,
2025-09-14,451882.0,
2025-09-21,332896.0,
2025-09-28,0.0,
2025-10-05,0.0,
2025-10-12,0.0,
2025-10-19,320843.0,
2025-10-26,167553.0,
2025-11-02,182663.0,
2025-11-09,323475.0,
2025-11-16,191123.0,
2025-11-23,105410.0,
2025-11-30,199899.0,
2025-12-07,239457.0,
2025-12-14,321241.0,
2025-12-21,154913.0,
2025-12-28,241256.0,
2026-01-04,27713.0,
2026-01-11,,106985.55555555556
2026-01-18,,106985.55555555556
2026-01-25,,106985.55555555556
2026-02-01,,106985.55555555556
2026-02-08,,106985.55555555556
2026-02-15,,106985.55555555556
2026-02-22,,106985.55555555556
2026-03-01,,106985.55555555556
2026-03-08,,106985.55555555556
2026-03-15,,106985.55555555556
2026-03-22,,106985.55555555556
2026-03-29,,106985.55555555556
