,historical,forecast
2025-03-02,663952.0,
2025-03-09,0.0,
2025-03-16,0.0,
2025-03-23,0.0,
2025-03-30,0.0,
2025-04-06,181014.0,
2025-04-13,0.0,
2025-04-20,0.0,
2025-04-27,0.0,
2025-05-04,263262.0,
2025-05-11,0.0,
2025-05-18,0.0,
2025-05-25,0.0,
2025-06-01,203880.0,
2025-06-08,0.0,
2025-06-15,0.0,
2025-06-22,0.0,
2025-06-29,0.0,
2025-07-06,336817.0,
2025-07-13,0.0,
2025-07-20,0.0,
2025-07-27,0.0,
2025-08-03,0.0,
2025-08-10,0.0,
2025-08-17,0.0,
2025-08-24,0.0,
2025-08-31,0.0,
2025-09-07,78534.0,
2025-09-14,136865.0,
2025-09-21,109292.0,
2025-09-28,0.0,
2025-10-05,0.0,
2025-10-12,0.0,
2025-10-19,76122.0,
2025-10-26,48600.0,
2025-11-02,77733.0,
2025-11-09,115855.0,
2025-11-16,81700.0,
2025-11-23,46898.0,
2025-11-30,60985.0,
2025-12-07,98106.0,
2025-12-14,143518.0,
2025-12-21,70212.0,
2025-12-28,109829.0,
2026-01-04,9764.0,
2026-01-11,,64731.955555555556
2026-01-18,,64731.955555555556
2026-01-25,,64731.955555555556
2026-02-01,,64731.955555555556
2026-02-08,,64731.955555555556
2026-02-15,,64731.955555555556
2026-02-22,,64731.955555555556
2026-03-01,,64731.955555555556
2026-03-08,,64731.955555555556
2026-03-15,,64731.955555555556
2026-03-22,,64731.955555555556
2026-03-29,,64731.955555555556
