,historical,forecast
2025-03-02,712202.0,
2025-03-09,0.0,
2025-03-16,0.0,
2025-03-23,0.0,
2025-03-30,0.0,
2025-04-06,62436.0,
2025-04-13,0.0,
2025-04-20,0.0,
2025-04-27,0.0,
2025-05-04,90731.0,
2025-05-11,0.0,
2025-05-18,0.0,
2025-05-25,0.0,
2025-06-01,107102.0,
2025-06-08,0.0,
2025-06-15,0.0,
2025-06-22,0.0,
2025-06-29,0.0,
2025-07-06,133381.0,
2025-07-13,0.0,
2025-07-20,0.0,
2025-07-27,0.0,
2025-08-03,0.0,
2025-08-10,0.0,
2025-08-17,0.0,
2025-08-24,0.0,
2025-08-31,0.0,
2025-09-07,84830.0,
2025-09-14,148711.0,
2025-09-21,133871.0,
2025-09-28,0.0,
2025-10-05,0.0,
2025-10-12,0.0,
2025-10-19,221209.0,
2025-10-26,147206.0,
2025-11-02,418804.0,
2025-11-09,622591.0,
2025-11-16,656905.0,
2025-11-23,354004.0,
2025-11-30,227300.0,
2025-12-07,223624.0,
2025-12-14,293692.0,
2025-12-21,137945.0,
2025-12-28,248693.0,
2026-01-04,29365.0,
2026-01-11,,112324.48888888888
2026-01-18,,112324.48888888888
2026-01-25,,112324.48888888888
2026-02-01,,112324.48888888888
2026-02-08,,112324.48888888888
2026-02-15,,112324.48888888888
2026-02-22,,112324.48888888888
2026-03-01,,112324.48888888888
2026-03-08,,112324.48888888888
2026-03-15,,112324.48888888888
2026-03-22,,112324.48888888888
2026-03-29,,112324.48888888888
