,historical,forecast
2025-03-02,2199725.0,
2025-03-09,0.0,
2025-03-16,0.0,
2025-03-23,0.0,
2025-03-30,0.0,
2025-04-06,180864.0,
2025-04-13,0.0,
2025-04-20,0.0,
2025-04-27,0.0,
2025-05-04,183385.0,
2025-05-11,0.0,
2025-05-18,0.0,
2025-05-25,0.0,
2025-06-01,144904.0,
2025-06-08,0.0,
2025-06-15,0.0,
2025-06-22,0.0,
2025-06-29,0.0,
2025-07-06,329067.0,
2025-07-13,0.0,
2025-07-20,0.0,
2025-07-27,0.0,
2025-08-03,0.0,
2025-08-10,0.0,
2025-08-17,0.0,
2025-08-24,0.0,
2025-08-31,0.0,
2025-09-07,436425.0,
2025-09-14,533627.0,
2025-09-21,430173.0,
2025-09-28,0.0,
2025-10-05,0.0,
2025-10-12,0.0,
2025-10-19,287885.0,
2025-10-26,230977.0,
2025-11-02,336847.0,
2025-11-09,393281.0,
2025-11-16,491008.0,
2025-11-23,183222.0,
2025-11-30,332229.0,
2025-12-07,457106.0,
2025-12-14,479188.0,
2025-12-21,378373.0,
2025-12-28,466646.0,
2026-01-04,67396.0,
2026-01-11,,189829.51111111112
2026-01-18,,189829.51111111112
2026-01-25,,189829.51111111112
2026-02-01,,189829.51111111112
2026-02-08,,189829.51111111112
2026-02-15,,189829.51111111112
2026-02-22,,189829.51111111112
2026-03-01,,189829.51111111112
2026-03-08,,189829.51111111112
2026-03-15,,189829.51111111112
2026-03-22,,189829.51111111112
2026-03-29,,189829.51111111112
