key,bio_age_17_,bio_age_5_17,total_updates
Ahmedabad,239599,165891,405490
Surat,142771,138828,281599
Vadodara,128698,72719,201417
Rajkot,89189,79522,168711
Banaskantha,77742,74015,151757
Bhavnagar,75368,65784,141152
Kachchh,56591,67370,123961
Kheda,67426,49735,117161
Dahod,55439,60236,115675
Anand,62729,50966,113695
Panchmahals,65579,39189,104768
Junagadh,68677,33995,102672
Mahesana,56959,42954,99913
Surendra Nagar,51012,44699,95711
Sabarkantha,53287,37100,90387
Valsad,44257,39767,84024
Jamnagar,40212,40890,81102
Gandhinagar,42878,33686,76564
Bharuch,38017,38361,76378
Patan,38814,35135,73949
Amreli,34536,33978,68514
Navsari,21384,24168,45552
Tapi,23294,16731,40025
Narmada,23865,15333,39198
Gir Somnath,12866,23900,36766
Chhotaudepur,15199,18603,33802
Morbi,10439,21440,31879
Porbandar,16728,14257,30985
Mahisagar,12910,18042,30952
Arvalli,10580,19089,29669
The Dangs,15163,12787,27950
Devbhumi Dwarka,7647,17817,25464
Botad,5900,10356,16256
Dohad,13548,2168,15716
Ahmadabad,14724,958,15682
Sabar Kantha,558,59,617
Banas Kantha,488,59,547
Surendranagar,481,46,527
Panch Mahals,305,22,327
