key,demo_age_17_,demo_age_5_17,total_updates
Surat,322384,35198,357582
Ahmedabad,236152,31732,267884
Rajkot,127426,10174,137600
Vadodara,89085,10942,100027
Banaskantha,65429,9778,75207
Kachchh,59047,7742,66789
Gandhinagar,57658,6930,64588
Bhavnagar,51332,6530,57862
Kheda,46628,5991,52619
Mahesana,43687,6530,50217
Bharuch,42831,6975,49806
Valsad,39602,8741,48343
Jamnagar,41553,4166,45719
Sabarkantha,38270,5607,43877
Anand,35626,3523,39149
Surendra Nagar,35123,3636,38759
Junagadh,34170,3875,38045
Dahod,31140,4796,35936
Panchmahals,29270,3200,32470
Navsari,24517,5085,29602
Patan,26459,3100,29559
Amreli,25310,2578,27888
Morbi,16755,3044,19799
Narmada,12028,2729,14757
Porbandar,12822,1801,14623
Tapi,9545,2645,12190
Gir Somnath,9743,2323,12066
Chhotaudepur,7774,1857,9631
Arvalli,6286,1810,8096
Ahmadabad,7440,320,7760
Botad,6082,1463,7545
Mahisagar,6589,918,7507
Devbhumi Dwarka,5751,835,6586
The Dangs,5104,1477,6581
Dohad,4897,315,5212
Surendranagar,894,19,913
Sabar Kantha,602,41,643
Banas Kantha,440,33,473
Panch Mahals,402,15,417
