series,recent_avg_weekly,forecast_peak_week,forecast_peak_value
gujarat_Ahmedabad,10482.5,2026-01-11 00:00:00,5952.977777777778
gujarat_Banaskantha,3596.25,2026-01-11 00:00:00,1671.2666666666669
gujarat_Rajkot,4659.75,2026-01-11 00:00:00,3057.777777777778
gujarat_Surat,10453.25,2026-01-11 00:00:00,7946.266666666666
gujarat_Vadodara,4532.75,2026-01-11 00:00:00,2222.822222222222
state_Bihar,186280.75,2026-01-11 00:00:00,106985.55555555556
state_Madhya_Pradesh,83330.75,2026-01-11 00:00:00,64731.95555555556
state_Maharashtra,177423.75,2026-01-11 00:00:00,112324.48888888888
state_Uttar_Pradesh,347900.75,2026-01-11 00:00:00,189829.51111111112
state_West_Bengal,125771.25,2026-01-11 00:00:00,86051.51111111112
