key,demo_age_17_,demo_age_5_17,total_updates
Uttar Pradesh,7752020,790308,8542328
Maharashtra,4781280,273322,5054602
Bihar,4434327,380023,4814350
West Bengal,3629623,242549,3872172
Madhya Pradesh,2505840,407098,2912938
Rajasthan,2560391,257224,2817615
Andhra Pradesh,1974362,321143,2295505
Tamil Nadu,1896590,315638,2212228
Chhattisgarh,1840227,165207,2005434
Gujarat,1615853,208474,1824327
Karnataka,1430304,264981,1695285
Telangana,1387649,242259,1629908
Delhi,1263399,175535,1438934
Jharkhand,1301813,99376,1401189
Haryana,1026826,139314,1166140
Odisha,937594,145643,1083237
Assam,928098,84480,1012578
Punjab,825029,56866,881895
Kerala,683888,61064,744952
Uttarakhand,413711,49926,463637
Jammu and Kashmir,348926,57850,406776
Manipur,260085,41464,301549
Himachal Pradesh,129790,19424,149214
Tripura,126222,11791,138013
Meghalaya,78952,8426,87378
Chandigarh,70228,13133,83361
Mizoram,36604,5302,41906
Nagaland,32477,4314,36791
Arunachal Pradesh,30660,5783,36443
Goa,31845,3275,35120
Orissa,26905,1853,28758
Puducherry,21215,4089,25304
Sikkim,18785,1555,20340
Pondicherry,6852,607,7459
Andaman and Nicobar Islands,5583,604,6187
Dadra and Nagar Haveli,4723,1310,6033
Ladakh,4360,1375,5735
Dadra and Nagar Haveli and Daman and Diu,3434,306,3740
Daman and Diu,1318,234,1552
Lakshadweep,1006,170,1176
Andaman & Nicobar Islands,1046,13,1059
Daman & Diu,603,41,644
Jammu & Kashmir,403,23,426
Dadra & Nagar Haveli,203,32,235
West Bangal,153,4,157
West  Bengal,101,6,107
Westbengal,95,0,95
andhra pradesh,72,5,77
WEST BENGAL,69,2,71
West bengal,60,0,60
WESTBENGAL,57,0,57
ODISHA,47,3,50
odisha,20,0,20
west Bengal,15,0,15
Uttaranchal,5,0,5
Chhatisgarh,4,0,4
West Bengli,3,0,3
Darbhanga,2,0,2
BALANAGAR,2,0,2
Jaipur,2,0,2
Madanapalle,2,0,2
100000,2,0,2
Puttenahalli,1,0,1
Nagpur,1,0,1
Raja Annamalai Puram,1,0,1
